"","SubjID","Condition","Item","Region","GenderMatch","Referentiality","Phrase","RT","LogRT","Accuracy"
"6233",1681834820,"QuantificationalMatch",10,5,"Yes","Quantificational","en",859,6.75576892198425,1
"6234",1680716876,"QuantificationalMatch",20,5,"Yes","Quantificational","durante",384,5.95064255258773,1
"6235",1680710747,"QuantificationalMatch",12,7,"Yes","Quantificational","intentaron",301,5.70711026474888,1
"6236",1681829549,"QuantificationalMatch",1,0,"Yes","Quantificational","Las profesoras",225,5.41610040220442,1
"6237",1680712428,"QuantificationalMatch",11,11,"Yes","Quantificational","en",440,6.08677472691231,1
"6238",1680714619,"QuantificationalMatch",20,12,"Yes","Quantificational","europeo.",368,5.90808293816893,1
"6239",1680716876,"QuantificationalMatch",12,2,"Yes","Quantificational","que",415,6.0282785202307,1
"6240",1680713743,"QuantificationalMatch",10,3,"Yes","Quantificational","ningun actor",349,5.85507192220243,1
"6241",1681838506,"QuantificationalMatch",14,1,"Yes","Quantificational","a los",416,6.03068526026126,1
"6242",1680710747,"QuantificationalMatch",12,8,"Yes","Quantificational","entregarlo",310,5.73657229747919,1
"6243",1680547340,"QuantificationalMatch",16,0,"Yes","Quantificational","Los politicos",769,6.64509096950564,1
"6244",1680631855,"QuantificationalMatch",12,2,"Yes","Quantificational","que",334,5.8111409929767,1
"6245",1680712428,"QuantificationalMatch",15,10,"Yes","Quantificational","los efectos",584,6.36990098282823,1
"6246",1680716876,"QuantificationalMatch",20,4,"Yes","Quantificational","animo",625,6.4377516497364,1
"6247",1680710476,"QuantificationalMatch",11,5,"Yes","Quantificational","tras",250,5.52146091786225,1
