SubjID,Condition,Item,Region,GenderMatch,Referentiality,Phrase,RT,LogRT,Accuracy
1681056454,ReferentialMismatch,21,7,No,Referential,la revista,360,5.886104031450156,1
1681056454,ReferentialMismatch,21,8,No,Referential,la quieren,1127,7.027314514039777,1
1681056454,ReferentialMismatch,21,9,No,Referential,descalificar,1533,7.334981878871814,1
1681056454,ReferentialMismatch,21,10,No,Referential,del concurso,743,6.610696044717759,1
1681056454,ReferentialMismatch,21,11,No,Referential,para jovenes,577,6.3578422665081,1
1681056454,ReferentialMismatch,21,12,No,Referential,artistas.,404,6.0014148779611505,1
1681056454,ReferentialMismatch,5,1,No,Referential,Las disenadoras,715,6.5722825426940075,1
1681056454,ReferentialMismatch,5,2,No,Referential,a las,579,6.361302477572996,1
1681056454,ReferentialMismatch,5,3,No,Referential,que,518,6.249975242259483,1
1681386118,ReferentialMismatch,20,10,No,Referential,antes,416,6.030685260261263,1
1681386118,ReferentialMismatch,20,11,No,Referential,del proximo,392,5.971261839790462,1
1681386118,ReferentialMismatch,20,12,No,Referential,campeonato,520,6.253828811575473,1
1681386118,ReferentialMismatch,20,13,No,Referential,europeo.,392,5.971261839790462,1
1681386118,ReferentialMismatch,24,1,No,Referential,Las pacientes,488,6.1903154058531475,1
1681386118,ReferentialMismatch,24,2,No,Referential,a las,200,5.298317366548036,1
1681386118,ReferentialMismatch,24,3,No,Referential,que,247,5.5093883366279774,1
1681386118,ReferentialMismatch,24,4,No,Referential,el psicologo,265,5.579729825986222,1
1681386118,ReferentialMismatch,24,5,No,Referential,no diagnostico,264,5.575949103146316,1
1681386118,ReferentialMismatch,24,6,No,Referential,tras,881,6.78105762593618,1
1681386118,ReferentialMismatch,24,7,No,Referential,varias sesiones,278,5.627621113690637,1
1681386118,ReferentialMismatch,24,8,No,Referential,la van,561,6.329720905522696,1
1681386118,ReferentialMismatch,24,9,No,Referential,a despedir,367,5.905361848054571,1
